Sample Time,Engine Speed (RPM),Engine Load Factor (%),Engine Coolant Temperature (Deg. C),Engine Oil Pressure (kPa),Boost Pressure (kPa),Fuel Pressure (kPa),Inlet Air Temperature (Deg. C),Fuel Consumption Rate (L/hr)
11/08/2021 12:27,1811.5,70,83,448.5,86,685,44,115.45
11/08/2021 11:57,1766.5,38,83,449,75,680.5,44.4,93.7
11/08/2021 11:04,801.5,28,83,262.5,2,574,42.5,14.5
11/08/2021 10:34,1185.5,34,83,424.5,9,628,38.2,29.8
11/07/2021 14:01,800.5,22,82,283,1,578,36.1,12.85
11/07/2021 13:31,799,25,82,283,1.5,578.5,37.6,13.65
11/07/2021 13:01,801.5,27,83,281,1.5,580.5,40.5,14.15
11/07/2021 11:33,799.5,32,83,298.5,2,586,35.5,15.7
11/06/2021 17:09,1697,88,84,443,122,680,40.8,139.05
11/06/2021 16:03,1204.5,31,83,416.5,8.5,620,46.5,26.7
11/06/2021 15:33,1769.5,86,83,455,72.5,686.5,39.1,128.95
11/06/2021 15:03,1805.5,13,81,469.5,40,692.5,35.8,36.95
11/06/2021 14:33,1763,61,83,459.5,42.5,633,37.3,98.2
11/06/2021 14:03,1159.5,46,82,426.5,8,617,34.2,36.6
11/06/2021 11:14,799.5,22,83,283.5,1,577,38.8,12.95
11/06/2021 10:44,799.5,24,82,287,2,579.5,35.7,13.4
11/05/2021 18:45,799,29,83,281.5,2,581,35.8,14.6
11/05/2021 18:15,1315.5,28,82,435.5,4.5,628.5,40.5,26.95
11/05/2021 17:45,1300,29,82,430,4.5,627,44.3,26.95
11/05/2021 17:15,1420,46,83,440,19.5,653.5,38.8,48.8
11/05/2021 16:28,1301,30,83,435.5,7.5,631.5,36.6,29.1
11/05/2021 14:41,800.5,23,83,270.5,1.5,579,44.5,13.2
11/05/2021 14:11,1790.5,25,83,453,71,691.5,43.2,75.15
11/05/2021 13:41,1778.5,76,83,452.5,83.5,687.5,39.3,124.8
11/05/2021 13:11,1200.5,27,83,421.5,5,632,35.6,24.35
11/05/2021 12:41,1411,30,82,445.5,20.5,668,37.3,35.15
11/05/2021 12:11,1399,30,82,438.5,7,652.5,43.6,32.4
11/05/2021 11:41,1380.5,31,82,442,9,657.5,37.2,32.8
11/05/2021 11:11,800.5,29,83,284,3,575,40,14.75
11/05/2021 10:41,800.5,27,83,285.5,2,578,39.3,14
